% 2016îN 11åé 11ì˙ 17éû 34ï™ 14.886000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2: 0:30
END         TIME :  2008/12/13  4:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1509    526428    8028  -3761083.3212   3636605.8815   3636252.7544    2216.3376   -9920.0547      57.3351
      2  1509    526429    8029  -3761083.1224   3636605.7876   3636252.8108    2216.2667   -9919.8889      57.1971
      3  1509    526430    8030  -3761083.0082   3636605.7051   3636252.8372    2216.2466   -9919.7872      57.0982
      4  1509    526431    8031  -3761082.9783   3636605.6174   3636252.8269    2216.2889   -9919.7483      57.0248
      5  1509    526432    8032  -3761082.9386   3636605.5720   3636252.7940    2216.2939   -9919.7406      56.9567
      6  1509    526433    8033  -3761082.8259   3636605.6740   3636253.1658    2216.1423   -9919.4306      57.1621
      7  1509    526434    8034  -3761082.8248   3636605.6727   3636253.1653    2216.1424   -9919.4300      57.1605
      8  1509    526435    8035  -3761082.8250   3636605.6714   3636253.1694    2216.1434   -9919.4262      57.1622
      9  1509    526436    8036  -3761082.8267   3636605.6757   3636253.1711    2216.1415   -9919.4273      57.1666
     10  1509    526437    8037  -3761082.8256   3636605.6751   3636253.1739    2216.1412   -9919.4242      57.1672
     11  1509    526438    8038  -3761082.8254   3636605.6743   3636253.1736    2216.1417   -9919.4241      57.1665
     12  1509    526439    8039  -3761082.8249   3636605.6770   3636253.1698    2216.1394   -9919.4281      57.1655
     13  1509    526440    8040  -3761082.8295   3636605.6800   3636253.1771    2216.1404   -9919.4252      57.1741
     14  1509    526441    8041  -3761082.8280   3636605.6797   3636253.1763    2216.1396   -9919.4252      57.1726
     15  1509    526442    8042  -3761082.8255   3636605.6751   3636253.1761    2216.1412   -9919.4224      57.1684
     16  1509    526443    8043  -3761082.8267   3636605.6713   3636253.1728    2216.1446   -9919.4241      57.1651
     17  1509    526444    8044  -3761082.8268   3636605.6707   3636253.1730    2216.1453   -9919.4238      57.1649
     18  1509    526445    8045  -3761082.8275   3636605.6716   3636253.1717    2216.1450   -9919.4255      57.1650
     19  1509    526446    8046  -3761082.8288   3636605.6731   3636253.1761    2216.1448   -9919.4230      57.1692
     20  1509    526447    8047  -3761082.8277   3636605.6719   3636253.1736    2216.1450   -9919.4241      57.1665
     21  1509    526448    8048  -3761082.8252   3636605.6727   3636253.1778    2216.1426   -9919.4200      57.1678
     22  1509    526449    8049  -3761082.8245   3636605.6717   3636253.1766    2216.1429   -9919.4203      57.1662
     23  1509    526450    8050  -3761082.8303   3636605.6788   3636253.1821    2216.1418   -9919.4210      57.1767
     24  1509    526451    8051  -3761082.8302   3636605.6754   3636253.1809    2216.1442   -9919.4205      57.1741
     25  1509    526452    8052  -3761082.8284   3636605.6747   3636253.1830    2216.1434   -9919.4178      57.1738
     26  1509    526453    8053  -3761082.8279   3636605.6749   3636253.1812    2216.1429   -9919.4192      57.1726
     27  1509    526454    8054  -3761082.8298   3636605.6756   3636253.1773    2216.1438   -9919.4235      57.1719
     28  1509    526455    8055  -3761082.8272   3636605.6746   3636253.1795    2216.1427   -9919.4201      57.1711
     29  1509    526456    8056  -3761082.8342   3636605.6788   3636253.1786    2216.1445   -9919.4254      57.1770
     30  1509    526457    8057  -3761082.8267   3636605.6735   3636253.1744    2216.1431   -9919.4237      57.1672
     31  1509    526458    8058  -3761082.8269   3636605.6736   3636253.1756    2216.1432   -9919.4228      57.1681
     32  1509    526459    8059  -3761082.8254   3636605.6736   3636253.1728    2216.1421   -9919.4245      57.1656
     33  1509    526460    8060  -3761082.8229   3636605.6746   3636253.1772    2216.1397   -9919.4203      57.1673
